source,text,created_at,retweet_count,favorite_count,word_count,sentiment
Twitter for iPhone,"Thank you, I love you!",Tue May 21 00:45:41 +0000 2019,16177,64988,5,0.5590169943749475
Twitter for iPhone,#MAGA https://t.co/6oqbA5Y5zU,Tue May 21 00:45:41 +0000 2019,16177,64988,7,0
Twitter for iPhone,"Landing shortly in Montoursville, Pennsylvania - see everyone shortly!",Mon May 20 22:39:53 +0000 2019,12182,55103,8,0
Twitter for iPhone,https://t.co/R67IxP3QPL,Mon May 20 22:39:53 +0000 2019,12182,55103,6,0
Twitter for iPhone,Fred Keller of the Great State of Pennsylvania has been an outstanding State Representative.,Mon May 20 18:07:30 +0000 2019,15273,60529,14,0.33407655239053047
Twitter for iPhone,"Now he is running as the Republican Nominee for Congress, and has my Complete and Total Endorsement.",Mon May 20 18:07:30 +0000 2019,15273,60529,17,0.12126781251816648
Twitter for iPhone,He will do a fantastic job - I look forward to seeing everyone tonight!,Mon May 20 18:07:30 +0000 2019,15273,60529,13,0.3744226324520297
Twitter for iPhone,#MAGA,Mon May 20 18:07:30 +0000 2019,15273,60529,1,0
Twitter for iPhone,See you tonight at 7:00 P.M.,Mon May 20 17:40:23 +0000 2019,10773,42010,6,0
Twitter for iPhone,"Eastern, Montoursville, Pennsylvania!",Mon May 20 17:40:23 +0000 2019,10773,42010,3,0
Twitter for iPhone,#MAGA https://t.co/Ij2AjXfRZa,Mon May 20 17:40:23 +0000 2019,10773,42010,6,0
Twitter for iPhone,"The Fake News put out a typically false statement, without any knowledge that the United States was trying to set up a negotiation with Iran.",Mon May 20 17:30:35 +0000 2019,18732,79851,25,-0.25
Twitter for iPhone,This is a false report....,Mon May 20 17:30:35 +0000 2019,18732,79851,5,-0.2683281572999747
Twitter for iPhone,....,Mon May 20 17:30:35 +0000 2019,15389,70777,NA,0
Twitter for iPhone,Iran will call us if and when they are ever ready.,Mon May 20 17:30:35 +0000 2019,15389,70777,11,0.24120907566221092
Twitter for iPhone,"In the meantime, their economy continues to collapse - very sad for the Iranian people!",Mon May 20 17:30:35 +0000 2019,15389,70777,14,-0.6013377943029549
Twitter for iPhone,"On this Cuban Independence Day, we stand by the people of Cuba in their quest for freedom, democracy and prosperity.",Mon May 20 17:28:03 +0000 2019,16206,65332,20,0.63727937358744
Twitter for iPhone,The Cuban regime must end its repression of Cubans &amp; Venezuelans.,Mon May 20 17:28:03 +0000 2019,16206,65332,11,-0.15075567228888181
Twitter for iPhone,The United States will not stand idly by as Cuba continues to subvert democracy in the Americas!,Mon May 20 17:28:03 +0000 2019,16206,65332,17,0.09701425001453319
Twitter for iPhone,Looks like Bernie Sanders is history.,Mon May 20 14:08:04 +0000 2019,25313,112248,6,0.20412414523193154
Twitter for iPhone,"Sleepy Joe Biden is pulling ahead and think about it, I’m only here because of Sleepy Joe and the man who took him off the 1% trash heap, President O!",Mon May 20 14:08:04 +0000 2019,25313,112248,30,0.12780193008453877
Twitter for iPhone,China wants Sleepy Joe BADLY!,Mon May 20 14:08:04 +0000 2019,25313,112248,5,-0.33541019662496846
Twitter for iPhone,Why are the Democrats not looking into all of the crimes committed by Crooked Hillary and the phony Russia Investigation?,Mon May 20 12:13:31 +0000 2019,19777,79987,20,-0.16770509831248423
Twitter for iPhone,They would get back their credibility.,Mon May 20 12:13:31 +0000 2019,19777,79987,6,0.4082482904638631
Twitter for iPhone,"Jerry Nadler, Schiff,  would have a whole new future open to them.",Mon May 20 12:13:31 +0000 2019,19777,79987,12,-0.07216878364870323
Twitter for iPhone,Perhaps they could even run for President!,Mon May 20 12:13:31 +0000 2019,19777,79987,7,0
Twitter for iPhone,"“We have a booming economy, and working people are making gains that they haven’t seen in decades.”  Stuart Varney @foxandfriends",Mon May 20 12:07:33 +0000 2019,13640,61633,21,0.19639610121239315
Twitter for iPhone,"Two Tweets missing from last batch, probably a Twitter error.",Mon May 20 11:35:31 +0000 2019,1101,4267,10,-0.4743416490252569
Twitter for iPhone,No time for a redo!,Mon May 20 11:35:31 +0000 2019,1101,4267,5,0
Twitter for iPhone,Only the Dems get redos!,Mon May 20 11:35:31 +0000 2019,1101,4267,5,0
Twitter for iPhone,.....,Mon May 20 11:20:54 +0000 2019,13979,73627,NA,0
Twitter for iPhone,"was very good and highly professional to deal with - and if for any reason I didn’t like them, I would have gone elsewhere....",Mon May 20 11:20:54 +0000 2019,13979,73627,24,0.9246823779006499
Twitter for iPhone,there was always plenty of money around and banks to choose from.,Mon May 20 11:20:54 +0000 2019,13979,73627,12,0.17320508075688773
Twitter for iPhone,They would be very happy to take my money.,Mon May 20 11:20:54 +0000 2019,13979,73627,9,0.18000000000000002
Twitter for iPhone,Fake News!,Mon May 20 11:20:54 +0000 2019,13979,73627,2,-0.5303300858899106
Twitter for iPhone,"The Failing New York Times (it will pass away when I leave office in 6 years), and others of the Fake News Media, keep writing phony stories about how I didn’t use many banks because they didn’t want to do business with me.",Mon May 20 11:20:53 +0000 2019,20531,101496,44,-0.2562846428910991
Twitter for iPhone,WRONG!,Mon May 20 11:20:53 +0000 2019,20531,101496,1,-0.75
